transaction_id,amount,merchant,location,time,is_fraud
T1047,55.00,Target,Portland,2023-01-20 11:15:00,0
T1048,4300.00,Chanel,Orlando,2023-01-20 12:30:00,1
T1049,25.00,Walgreens,Charlotte,2023-01-20 13:45:00,0
T1050,3700.00,Hermes,Indianapolis,2023-01-20 15:00:00,1
T1051,95.00,Costco,Columbus,2023-01-20 16:15:00,0
T1052,2800.00,Prada,San Antonio,2023-01-20 17:30:00,1
T1053,35.00,Trader Joe's,Memphis,2023-01-21 08:45:00,0
T1054,3200.00,Burberry,Baltimore,2023-01-21 10:00:00,1
T1055,65.00,REI,Boston,2023-01-21 11:15:00,0
T1056,4000.00,Armani,Philadelphia,2023-01-21 12:30:00,1
T1057,75.00,Dollar General,Miami,2023-01-21 13:45:00,0
T1058,3500.00,Bulgari,Washington,2023-01-21 15:00:00,1
T1059,45.00,Office Depot,Atlanta,2023-01-21 16:15:00,0
T1060,3800.00,Fendi,Dallas,2023-01-22 08:30:00,1
T1061,55.00,ALDI,Las Vegas,2023-01-22 09:45:00,0
T1062,4200.00,Van Cleef,Seattle,2023-01-22 11:00:00,1
T1063,85.00,Safeway,San Francisco,2023-01-22 12:15:00,0
T1064,2900.00,Audemars Piguet,Denver,2023-01-22 13:30:00,1
T1065,25.00,Best Buy,Phoenix,2023-01-22 14:45:00,0
T1066,3400.00,Bottega Veneta,Detroit,2023-01-22 16:00:00,1
T1067,95.00,PetSmart,Minneapolis,2023-01-22 17:15:00,0
T1068,4100.00,Rolex,San Diego,2023-01-23 08:30:00,1
T1069,35.00,Target,Portland,2023-01-23 09:45:00,0
T1070,3600.00,Chanel,Orlando,2023-01-23 11:00:00,1
T1071,65.00,Walgreens,Charlotte,2023-01-23 12:15:00,0
T1072,3900.00,Hermes,Indianapolis,2023-01-23 13:30:00,1
T1073,75.00,Costco,Columbus,2023-01-23 14:45:00,0
T1074,4300.00,Prada,San Antonio,2023-01-23 16:00:00,1
T1075,45.00,Trader Joe's,Memphis,2023-01-23 17:15:00,0
T1076,3700.00,Burberry,Baltimore,2023-01-24 08:30:00,1
T1077,55.00,REI,Boston,2023-01-24 09:45:00,0
T1078,4000.00,Armani,Philadelphia,2023-01-24 11:00:00,1
T1079,85.00,Dollar General,Miami,2023-01-24 12:15:00,0
T1080,3500.00,Bulgari,Washington,2023-01-24 13:30:00,1
T1081,25.00,Office Depot,Atlanta,2023-01-24 14:45:00,0
T1082,3800.00,Fendi,Dallas,2023-01-24 16:00:00,1
T1083,95.00,ALDI,Las Vegas,2023-01-24 17:15:00,0
T1084,4200.00,Van Cleef,Seattle,2023-01-25 08:30:00,1
T1085,35.00,Safeway,San Francisco,2023-01-25 09:45:00,0
T1086,2900.00,Audemars Piguet,Denver,2023-01-25 11:00:00,1
T1087,65.00,Best Buy,Phoenix,2023-01-25 12:15:00,0
T1088,3400.00,Bottega Veneta,Detroit,2023-01-25 13:30:00,1
T1089,75.00,PetSmart,Minneapolis,2023-01-25 14:45:00,0
T1090,4100.00,Rolex,San Diego,2023-01-25 16:00:00,1
T1091,45.00,Target,Portland,2023-01-25 17:15:00,0
T1092,3600.00,Chanel,Orlando,2023-01-26 08:30:00,1
T1093,55.00,Walgreens,Charlotte,2023-01-26 09:45:00,0
T1094,3900.00,Hermes,Indianapolis,2023-01-26 11:00:00,1
T1095,85.00,Costco,Columbus,2023-01-26 12:15:00,0
T1096,4300.00,Prada,San Antonio,2023-01-26 13:30:00,1
T1097,25.00,Trader Joe's,Memphis,2023-01-26 14:45:00,0
T1098,3700.00,Burberry,Baltimore,2023-01-26 16:00:00,1
T1099,95.00,REI,Boston,2023-01-26 17:15:00,0
T1100,4000.00,Armani,Philadelphia,2023-01-27 08:30:00,1
